,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Busselton,AU,-33.65,115.3333,66.04,71,0,12.26,clear sky
1,Ushuaia,AR,-54.8,-68.3,38.86,81,75,16.11,broken clouds
2,Saskylakh,RU,71.9167,114.0833,-17.9,89,46,3.0,scattered clouds
3,Georgetown,MY,5.4112,100.3354,79.9,90,40,3.44,scattered clouds
4,Manaure,CO,11.7751,-72.4445,89.71,59,10,22.79,clear sky
5,Bredasdorp,ZA,-34.5322,20.0403,65.52,72,97,8.05,overcast clouds
6,Port Shepstone,ZA,-30.7414,30.455,74.75,80,100,11.72,overcast clouds
7,Kapaa,US,22.0752,-159.319,82.38,60,40,16.11,scattered clouds
8,Norman Wells,CA,65.282,-126.8329,-7.56,64,100,5.75,overcast clouds
9,Carnarvon,AU,-24.8667,113.6333,77.07,88,3,0.0,clear sky
10,Pedro Juan Caballero,PY,-22.5472,-55.7333,80.85,37,96,3.94,overcast clouds
11,Uvira,CD,-3.4067,29.1458,71.67,86,99,2.06,light rain
12,Takoradi,GH,4.8845,-1.7554,78.21,87,68,6.04,light rain
13,Dingle,PH,10.9995,122.6711,75.51,91,97,6.53,overcast clouds
14,Hobart,AU,-42.8794,147.3294,64.02,73,100,10.36,overcast clouds
15,Mar Del Plata,AR,-38.0023,-57.5575,66.22,71,0,3.44,clear sky
16,Roald,NO,62.5833,6.1333,38.91,93,100,18.41,light rain
17,Port Hawkesbury,CA,45.6169,-61.3485,24.87,85,100,5.75,light snow
18,Kihei,US,20.785,-156.4656,80.62,66,20,17.27,light rain
19,Kruisfontein,ZA,-34.0033,24.7314,66.24,81,32,7.07,scattered clouds
20,Avarua,CK,-21.2078,-159.775,82.45,74,20,4.61,light rain
21,Tyup,KG,42.7276,78.3648,20.77,81,95,3.36,overcast clouds
22,Fuling,CN,29.7022,107.3919,44.02,83,1,3.38,clear sky
23,Airai,TL,-8.9266,125.4092,62.53,85,40,2.28,scattered clouds
24,Butaritari,KI,3.0707,172.7902,80.8,79,68,12.53,moderate rain
25,Vila Franca Do Campo,PT,37.7167,-25.4333,59.2,74,17,5.41,few clouds
26,Katsuura,JP,35.1333,140.3,39.11,89,100,27.02,light rain
27,Bengkulu,ID,-3.8004,102.2655,75.29,88,100,3.27,overcast clouds
28,Pevek,RU,69.7008,170.3133,-17.05,97,100,8.99,overcast clouds
