City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Georgetown,MY,79.9,scattered clouds,5.4112,100.3354,Cititel Penang
4,Manaure,CO,89.71,clear sky,11.7751,-72.4445,Hotel Palaaima
7,Kapaa,US,82.38,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
9,Carnarvon,AU,77.07,clear sky,-24.8667,113.6333,Hospitality Carnarvon
10,Pedro Juan Caballero,PY,80.85,overcast clouds,-22.5472,-55.7333,Hotel Internacional
12,Takoradi,GH,78.21,light rain,4.8845,-1.7554,Raybow International Hotel
13,Dingle,PH,75.51,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
18,Kihei,US,80.62,light rain,20.785,-156.4656,Maui Sunset
20,Avarua,CK,82.45,light rain,-21.2078,-159.775,Paradise Inn
24,Butaritari,KI,80.8,moderate rain,3.0707,172.7902,Isles Sunset Lodge
27,Bengkulu,ID,75.29,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
31,Fare,PF,81.1,light rain,-16.7,-151.0167,Maitai Lapita Village Huahine
35,Cabedelo,BR,83.07,clear sky,-6.9811,-34.8339,Hotel Pigalle
39,Bajil,YE,75.29,scattered clouds,15.0584,43.2851,فندق حضرموت
45,Vaini,TO,86.16,scattered clouds,-21.2,-175.2,Keleti Beach Resort
52,Lompoc,US,85.78,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
54,Luanda,AO,77.0,clear sky,-8.8368,13.2343,Hotel Fórum
55,Rikitea,PF,78.62,broken clouds,-23.1203,-134.9692,People ThankYou
59,Meulaboh,ID,76.23,light rain,4.1363,96.1285,Kost Pria
60,Salalah,OM,75.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
62,Broken Hill,AU,85.71,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
63,Vanimo,PG,79.29,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
71,Saint-Philippe,RE,78.39,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
76,Hervey Bay,AU,80.04,few clouds,-25.2986,152.8535,Shelly Bay Resort
81,Puerto Ayora,EC,76.55,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
83,Hithadhoo,MV,82.04,broken clouds,-0.6,73.0833,Scoop Guest House
84,Arraial Do Cabo,BR,75.81,clear sky,-22.9661,-42.0278,Pousada Porto Praia
85,Kribi,CM,79.74,overcast clouds,2.95,9.9167,La Grace Hôtel
89,Atuona,PF,78.08,light rain,-9.8,-139.0333,Villa Enata
90,Souillac,MU,81.36,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
92,Okitipupa,NG,75.99,scattered clouds,6.5047,4.7839,Coastal Hotel & Suites
93,Sao Joao Da Barra,BR,76.26,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
115,Libreville,GA,79.29,overcast clouds,0.3925,9.4537,Le Méridien Re-Ndama
117,Itarema,BR,79.57,clear sky,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
119,Vila Velha,BR,75.15,overcast clouds,-20.3297,-40.2925,Quality Suites Vila Velha
122,Bom Jardim,BR,79.14,clear sky,-7.7958,-35.5872,Pousada do Posto Jose Breno
125,Mahebourg,MU,81.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
129,Clarence Town,AU,78.94,overcast clouds,-32.5833,151.7833,River Downs Cottage
136,Laguna,US,80.44,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
139,Hilo,US,78.53,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
142,Belmonte,BR,79.3,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
160,Tabou,CI,77.5,broken clouds,4.423,-7.3528,hotêl doufoulougou
173,Bathsheba,BB,77.61,few clouds,13.2167,-59.5167,Atlantis Hotel
