City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Misratah,LY,2022-02-10 08:01:26,32.3754,15.0925,56.86,57,3,5.46
1,Ubala,CO,2022-02-10 08:01:26,4.7478,-72.5369,73.54,83,95,2.04
2,Longyearbyen,SJ,2022-02-10 08:01:27,78.2186,15.6401,15.64,86,75,8.05
3,Mataura,NZ,2022-02-10 08:01:27,-46.1927,168.8643,65.48,80,23,4.23
4,Busselton,AU,2022-02-10 08:01:27,-33.65,115.3333,96.08,34,75,11.3
5,Abancay,PE,2022-02-10 08:01:28,-13.6339,-72.8814,57.65,96,100,2.17
6,Atuona,PF,2022-02-10 08:01:28,-9.8,-139.0333,78.51,77,19,17.56
7,Dikson,RU,2022-02-10 08:01:28,73.5069,80.5464,1.17,93,95,20.11
8,New Norfolk,AU,2022-02-10 08:01:29,-42.7826,147.0587,69.93,40,11,3.0
9,Cidreira,BR,2022-02-10 08:01:29,-30.1811,-50.2056,71.19,76,18,12.35
10,Kathu,TH,2022-02-10 08:01:29,7.9178,98.3332,89.69,69,40,2.91
11,Bandarbeyla,SO,2022-02-10 08:01:30,9.4942,50.8122,77.59,53,86,22.35
12,Punta Arenas,CL,2022-02-10 08:01:01,-53.15,-70.9167,44.11,75,100,23.13
13,Salalah,OM,2022-02-10 08:01:30,17.0151,54.0924,78.49,22,59,4.72
14,Tautira,PF,2022-02-10 08:01:31,-17.7333,-149.15,82.0,77,20,14.54
15,Saint George,US,2022-02-10 07:58:45,37.1041,-113.5841,51.8,41,0,1.01
16,Ushuaia,AR,2022-02-10 08:01:31,-54.8,-68.3,39.92,96,100,8.97
17,Nador,MA,2022-02-10 08:01:32,35.174,-2.9287,50.25,93,40,2.3
18,Gimli,CA,2022-02-10 08:01:32,50.6336,-96.9907,1.06,98,100,8.21
19,Sinnamary,GF,2022-02-10 08:01:32,5.3833,-52.95,75.06,87,83,5.77
20,Kaitangata,NZ,2022-02-10 08:01:33,-46.2817,169.8464,59.23,98,36,2.98
21,Rikitea,PF,2022-02-10 08:01:33,-23.1203,-134.9692,78.94,73,36,18.68
22,Upernavik,GL,2022-02-10 08:01:33,72.7868,-56.1549,-16.17,82,100,9.64
23,Innisfail,AU,2022-02-10 08:00:35,-17.5333,146.0333,80.35,73,1,5.06
24,Jamestown,US,2022-02-10 08:01:34,42.097,-79.2353,37.09,65,100,11.01
25,Gamboula,CF,2022-02-10 08:01:34,4.1178,15.1393,83.75,15,88,5.5
26,Kilindoni,TZ,2022-02-10 08:01:35,-7.9139,39.6668,81.86,74,100,10.87
27,Kirakira,SB,2022-02-10 08:01:35,-10.4544,161.9205,79.39,86,98,7.63
28,Sungaipenuh,ID,2022-02-10 08:01:35,-2.0833,101.3833,77.14,41,94,4.0
29,Hermanus,ZA,2022-02-10 08:01:36,-34.4187,19.2345,69.91,80,99,4.54
